trueRr,uniformAttributableRisk,baselineRate,usageRateSlope,censorType,censorStrength,coverage,crudeBias,meanDiagnosticRatio,fractionFailingDiagnostic,meanDiagnostic2Ratio,fractionFailingDiagnostic2,meanPreExposureRatio,fractionFailingPreExposure,meanPreExposureRr,fractionFailingPreExposureLb,fractionFailingPreExposureLb125,fractionFailingPreExposureUb,fractionFailingPreExposureUb125,fractionFailingPreExposure125,bias
1,TRUE,1e-4,0,Temporary,Weak,0.92,-0.03456983233156888,0.8932069361025335,0,1.03316561714175,0.05,0.6924688110765741,0.03,0.6977721897569732,0,0,0.91,0.22,0.22,-0.03130797722367029
1,TRUE,1e-4,0,Temporary,Strong,0.73,-0.13125428195372124,0.6664930017377796,1,1.0303060634153682,0.05,0.09449168590649468,0,0.18030131563387936,0,0,1,1,1,-0.12791808039314576
1,TRUE,1e-4,0,Permanent,Weak,0,0.8313378032037666,0.3962632183404829,1,1.0307388888820836,0.08,1.864318914088889e-7,0,0.0024143498428886327,0,0,1,1,1,0.8363425750035423
1,TRUE,1e-4,0,Permanent,Strong,0.08,0.7170231558621696,0.40198537767779874,1,1.0247975117800152,0.2,2.1776942759755173e-6,0,0.0069756537078796204,0,0,1,0.99,0.99,0.7379001848505415
1,TRUE,1e-4,0,Permanent when exposed,Weak,0,3.5669429235745462,0.04692033500883896,1,0.1511387631283513,1,2.3082506054883223e-7,0,0.013079139637088993,0,0,1,0.98,0.98,3.551694114782243
1,TRUE,1e-4,0,Permanent when exposed,Strong,0,2.274144918868232,0.04944595030117955,1,0.18422676155995962,0.96,2.8776709575459475e-7,0,0.004279722006886354,0,0,0.74,0.74,0.74,2.291879358333509
1,TRUE,1e-4,0,Reverse causality,Weak,0,0.5409720370311748,1.2268156152647312,0.19,1.4286863411137642,0.82,1.0649815656884498,0.05,1.8802159682596749,1,1,0,0,1,0.5425192897095972
1,TRUE,1e-4,0,Reverse causality,Strong,0,1.223019883606305,1.497824233455066,1,2.0591723938666697,1,1.069062761153217,0.1,3.8941353215719072,1,1,0,0,1,1.222861363842339
1,TRUE,1e-4,0,None,None,0.95,0.012140178025975086,0.9947676722004379,0,1.034330399920974,0.05,0.9479031783217579,0.07,0.9868628759475097,0.01,0,0.05,0,0,0.015379779372754542
1,TRUE,1e-4,1e-5,Temporary,Weak,0.94,-0.08347724839518024,0.9311208221407025,0,1.067878307760689,0.08,0.7264532908160595,0,0.6824475362857065,0,0,0.94,0.26,0.26,-0.0811458933813928
1,TRUE,1e-4,1e-5,Temporary,Strong,0.42,-0.19142227016815608,0.7039902774515066,0.9,1.0602637208366255,0.08,0.10233603275131029,0,0.1750938634936907,0,0,1,1,1,-0.1890967693587423
1,TRUE,1e-4,1e-5,Permanent,Weak,0,1.0694240445130991,0.428912164004096,1,1.051874608121415,0.06,3.0177990041771573e-7,0,0.0017886940128655237,0,0,1,1,1,1.0723914836501158
1,TRUE,1e-4,1e-5,Permanent,Strong,0.01,0.8625713510677241,0.4404919810380594,1,1.052714840530568,0.26,2.2841790255210893e-6,0,0.009008163500695157,0,0,1,0.99,0.99,0.8829806438149141
1,TRUE,1e-4,1e-5,Permanent when exposed,Weak,0,3.3541604986931475,0.04858961496817289,1,0.11430199536020391,1,2.632685094352912e-6,0,0.02478898624944995,0,0,1,0.97,0.97,3.341333351641364
1,TRUE,1e-4,1e-5,Permanent when exposed,Strong,0,2.0638491684045555,0.05267726735925826,1,0.13442506263615864,1,2.6209189474406183e-7,0,0.005311464660159632,0,0,0.81,0.67,0.67,2.077418473398525
1,TRUE,1e-4,1e-5,Reverse causality,Weak,0,0.5308946469051127,1.23213293245327,0.19,1.425857420155669,0.88,1.1362776160324433,0.18,1.817144249863853,1,0.98,0,0,0.98,0.5314384713871775
1,TRUE,1e-4,1e-5,Reverse causality,Strong,0,1.2260382934534204,1.4358137047875807,1,1.9779913816563295,1,1.221878909487053,0.16,3.4064388947942854,1,1,0,0,1,1.2252698168401037
1,TRUE,1e-4,1e-5,None,None,0.94,-0.033293303570658815,1.0341063960112702,0,1.071197635996868,0.08,0.9580488901064761,0.06,0.9659040054070183,0,0,0.05,0,0,-0.031060434100293473
1,TRUE,1e-4,-1e-5,Temporary,Weak,0.96,0.06312043146557908,0.7714704754888196,0.41,0.9125373209057833,0.22,0.7341672300547661,0.01,0.7777556249475973,0,0,0.22,0.03,0.03,0.08062092488254227
1,TRUE,1e-4,-1e-5,Temporary,Strong,0.95,0.05898573606660623,0.570232823863629,0.98,0.9121662409825865,0.22,0.0887153721456103,0,0.20695502524145665,0,0,1,0.98,0.98,0.07667798489282111
1,TRUE,1e-4,-1e-5,Permanent,Weak,0.64,0.324142951642864,0.3299555418678082,1,0.88558586548003,0.3,2.011589642098633e-7,0,0.002055104916755329,0,0,1,1,1,0.34695496040164236
1,TRUE,1e-4,-1e-5,Permanent,Strong,0.85,0.2561376971160658,0.3248348292279918,0.99,0.7929813865197417,0.48,8.713102689434729e-7,0,0.005826276134850506,0,0,0.9,0.78,0.78,0.367400586871472
1,TRUE,1e-4,-1e-5,Permanent when exposed,Weak,0,5.512046515172173,0.04225004411165878,1,0.46773149863794733,0.8080808080808081,6.015714661564168e-8,0,0.0012491679204564424,0,0,0.21,0.11,0.97,5.361457561005764
1,TRUE,1e-4,-1e-5,Permanent when exposed,Strong,0.01,4.549358042210271,0.04184789209774642,1,1580.0107047023353,0.6746987951807228,1.149652284276434e-7,0,0.0025640104230810054,0,0,0,0,0.98,4.112434838182009
1,TRUE,1e-4,-1e-5,Reverse causality,Weak,0.07,0.5204192032790909,1.160861606598829,0.14,1.3343544928687112,0.46,1.2529996068573974,0.15,2.063206449228555,1,0.9,0,0,0.9,0.5328541278882087
1,TRUE,1e-4,-1e-5,Reverse causality,Strong,0,1.2093872709683178,1.6159315132823167,0.97,2.1345956019070615,0.98,1.3264498050348,0.34,4.920003517596448,1,1,0,0,1,1.2148185603310238
