trueRr,baselineRate,usageRateSlope,seasonality,calendarTime,coverageUnadj,crudeBiasUnadj,coverageAdj,crudeBbiasAdj,meanDiagnosticRatioUnadj,fractionFailingDiagnosticUnadj,fractionFailingDiagnosticUnadj110,meanDiagnosticRatioAdj,fractionFailingDiagnosticAdj,fractionFailingDiagnosticAdj110,biasUnadj,biasAdj
1,1e-4,0,TRUE,TRUE,0.97,0.008386100429883794,0.97,0.008144189403080895,2.060275951418544,0.97,0.98,1.0303661944606504,0,0,0.016446196094744438,0.015520826483119858
1,1e-4,0,TRUE,FALSE,0.97,0.006226894974577478,0.98,0.0071299655825650034,2.040045200633451,0.95,0.96,1.0242682510032548,0,0,0.013849630609459424,0.015072212191418681
1,1e-4,0,FALSE,TRUE,0.98,-0.001462741838037415,0.98,-0.0011228063159156058,1.1481171874751372,0.04,0.16,1.0354682824687287,0,0,0.007514978892673768,0.007819405379073038
1,1e-4,0,FALSE,FALSE,0.93,0.009114677929853826,0.93,0.00924357005252389,1.0588213394384756,0,0,1.0315984836946062,0,0,0.018147791587339212,0.018554232358393288
1,1e-4,1e-5,TRUE,TRUE,0.85,-0.04572954133934041,0.95,-0.01842043204701622,2.0801615169890098,0.95,0.99,1.0251208886016687,0,0,-0.024029942874499513,-0.008297564135678975
1,1e-4,1e-5,TRUE,FALSE,0.91,-0.048190267222402425,0.95,-0.009743632428325683,2.0489233011932986,0.93,0.97,1.0268664083101349,0,0,-0.036519283340486396,-0.0019590269280738357
1,1e-4,1e-5,FALSE,TRUE,0.87,-0.02927969059658763,0.97,-0.007458710226409061,1.1339821045008074,0.02,0.15,1.0307822171746834,0,0,-0.012578780376007619,-1.450184363265242e-4
1,1e-4,1e-5,FALSE,FALSE,0.91,-0.023055891021697108,0.92,-0.00821207870913526,1.0544931941345386,0,0,1.0254438049963954,0,0,-0.014383634471737378,4.41769273986827e-4
1,1e-4,-1e-5,TRUE,TRUE,0.85,0.0023673719814206276,0.94,-0.03982834836636928,2.0706379064320704,0.96,0.99,1.0288191584168835,0,0,0.042206759689006126,0.007904168045231894
1,1e-4,-1e-5,TRUE,FALSE,0.91,0.0056330291590110755,0.93,-0.0659425271637577,2.0336243758481927,0.95,0.97,1.0228262440557954,0,0,0.06082768917041114,-0.0123642117953334
1,1e-4,-1e-5,FALSE,TRUE,0.9,-0.015392891268996354,0.91,-0.04824292873585673,1.1507786914937603,0.03,0.17,1.0424155251619227,0,0.01,0.03032700026568331,0.0021441444244382143
1,1e-4,-1e-5,FALSE,FALSE,0.92,0.06454048934418004,0.94,0.03426748243234389,1.0593833576984284,0,0,1.0350384640816268,0,0,0.10587591114400188,0.07523706863521246
2,1e-4,0,TRUE,TRUE,0.95,-0.017118567324553448,0.96,-0.015864424320177904,2.0702430554346267,0.97,0.98,1.0342828812193332,0,0,-0.011175355698476372,-0.010439501898041739
2,1e-4,0,TRUE,FALSE,0.98,-0.028845661312835714,0.98,-0.025408617922695574,2.047542069594163,0.95,0.96,1.024093583978765,0,0,-0.02478703779720066,-0.021875232289733773
2,1e-4,0,FALSE,TRUE,0.99,-0.024509964614232282,0.99,-0.024265549624494037,1.1452542285990808,0.02,0.18,1.0375172231071115,0,0,-0.021826780430956365,-0.02137350414953338
2,1e-4,0,FALSE,FALSE,0.95,-0.01647022077387174,0.95,-0.016121108757433594,1.0585897572171454,0,0.01,1.0314663827194632,0,0,-0.012137093659987944,-0.01180941639111702
2,1e-4,1e-5,TRUE,TRUE,0.8,-0.06432887921507525,0.95,-0.03134071135229179,2.078111991236714,0.95,0.99,1.0311127541953955,0,0,-0.05215870413207959,-0.030804338551145054
2,1e-4,1e-5,TRUE,FALSE,0.9,-0.058281016424530686,0.95,-0.015705698619214094,2.0517590799932655,0.94,0.98,1.0319348343566264,0,0,-0.05317624172745529,-0.014875803177621851
2,1e-4,1e-5,FALSE,TRUE,0.82,-0.04130143714586546,0.98,-0.017410024912802916,1.139498629999173,0.03,0.14,1.039628286086392,0,0,-0.032427225344732705,-0.015224977882987788
2,1e-4,1e-5,FALSE,FALSE,0.96,-0.02424409832309987,0.95,-0.0066519256748619636,1.0521757551172288,0,0.01,1.02876798021337,0,0,-0.021666265454629782,-0.0040802141451512525
2,1e-4,-1e-5,TRUE,TRUE,0.8,0.02762838835747759,0.96,-0.012594954503912941,2.080373859690877,0.96,0.99,1.0273201910281433,0,0,0.04330325113176085,0.010562216062865254
2,1e-4,-1e-5,TRUE,FALSE,0.88,0.02855243010330702,0.86,-0.04354781878568461,2.0392220732208224,0.94,0.97,1.0183962980259866,0,0,0.052711486900241494,-0.017963592936322013
2,1e-4,-1e-5,FALSE,TRUE,0.82,3.846596846276135e-4,0.98,-0.031154687123899648,1.1550388663069964,0.01,0.14,1.0409733667185495,0,0,0.01827302832752604,-0.011145329868118798
2,1e-4,-1e-5,FALSE,FALSE,0.92,0.03961864902295236,0.95,0.008007991464164225,1.0540493411380198,0,0.01,1.0285930364659277,0,0,0.06306357098639978,0.03079217709141226
4,1e-4,0,TRUE,TRUE,0.91,-0.028822429071267388,0.92,-0.022821858402747766,2.0840436001235725,0.95,0.98,1.0327579028554252,0,0,-0.026526113078194517,-0.02169919426269574
4,1e-4,0,TRUE,FALSE,0.9,-0.0338431993632778,0.91,-0.02740359951395965,2.0594922517636642,0.96,0.98,1.024694690636578,0,0,-0.03356158664990999,-0.02820274252378944
